Date,Open,High,Low,Close,Adj Close,Volume
1991-12-23,null,null,null,null,null,null
1991-12-24,null,null,null,null,null,null
1991-12-25,139.783142,139.783142,139.783142,139.783142,68.985695,0
1991-12-26,139.783142,139.783142,139.783142,139.783142,68.985695,0
1991-12-27,139.783142,139.783142,139.783142,139.783142,68.985695,0
1991-12-30,139.783142,139.783142,139.783142,139.783142,68.985695,0
1991-12-31,139.783142,139.783142,139.783142,139.783142,68.985695,0
1992-01-01,null,null,null,null,null,null
1992-01-02,null,null,null,null,null,null
1992-01-03,null,null,null,null,null,null
1992-01-06,null,null,null,null,null,null
1992-01-07,null,null,null,null,null,null
1992-01-08,null,null,null,null,null,null
1992-01-09,null,null,null,null,null,null
1992-01-10,148.203812,148.203812,148.203812,148.203812,73.141457,0
1992-01-13,null,null,null,null,null,null
1992-01-14,null,null,null,null,null,null
1992-01-15,null,null,null,null,null,null
1992-01-16,null,null,null,null,null,null
1992-01-17,145.116241,145.116241,145.116241,145.116241,71.617699,0
1992-01-20,null,null,null,null,null,null
1992-01-21,null,null,null,null,null,null
1992-01-22,null,null,null,null,null,null
1992-01-23,null,null,null,null,null,null
1992-01-24,null,null,null,null,null,null
1992-01-27,null,null,null,null,null,null
1992-01-28,163.361023,163.361023,163.361023,163.361023,80.621841,0
1992-01-29,null,null,null,null,null,null
1992-01-30,null,null,null,null,null,null
1992-01-31,null,null,null,null,null,null
1992-02-03,null,null,null,null,null,null
1992-02-04,null,null,null,null,null,null
1992-02-05,null,null,null,null,null,null
1992-02-06,null,null,null,null,null,null
1992-02-07,null,null,null,null,null,null
1992-02-10,null,null,null,null,null,null
1992-02-11,169.536194,169.536194,169.536194,169.536194,83.669395,0
1992-02-12,null,null,null,null,null,null
1992-02-13,null,null,null,null,null,null
1992-02-14,168.413437,168.413437,168.413437,168.413437,83.115295,0
1992-02-17,null,null,null,null,null,null
1992-02-18,null,null,null,null,null,null
1992-02-19,null,null,null,null,null,null
1992-02-20,null,null,null,null,null,null
1992-02-21,null,null,null,null,null,null
1992-02-24,null,null,null,null,null,null
1992-02-25,181.886505,181.886505,181.886505,181.886505,89.764511,0
1992-02-26,null,null,null,null,null,null
1992-02-27,null,null,null,null,null,null
1992-02-28,null,null,null,null,null,null
1992-03-02,null,null,null,null,null,null
1992-03-03,null,null,null,null,null,null
1992-03-04,262.444275,262.444275,262.444275,262.444275,129.521362,0
1992-03-05,262.444275,262.444275,262.444275,262.444275,129.521362,0
1992-03-06,262.444275,262.444275,262.444275,262.444275,129.521362,0
1992-03-09,null,null,null,null,null,null
1992-03-10,null,null,null,null,null,null
1992-03-11,null,null,null,null,null,null
1992-03-12,null,null,null,null,null,null
1992-03-13,null,null,null,null,null,null
1992-03-16,null,null,null,null,null,null
1992-03-17,null,null,null,null,null,null
1992-03-18,null,null,null,null,null,null
1992-03-19,217.534012,217.534012,217.534012,217.534012,107.357269,0
1992-03-20,null,null,null,null,null,null
1992-03-23,228.761581,228.761581,228.761581,228.761581,112.898293,0
1992-03-24,null,null,null,null,null,null
1992-03-25,null,null,null,null,null,null
1992-03-26,279.285614,279.285614,279.285614,279.285614,137.832901,0
1992-03-27,null,null,null,null,null,null
1992-03-30,null,null,null,null,null,null
1992-03-31,null,null,null,null,null,null
1992-04-01,336.826874,336.826874,336.826874,336.826874,166.230591,0
1992-04-02,null,null,null,null,null,null
1992-04-03,null,null,null,null,null,null
1992-04-06,null,null,null,null,null,null
1992-04-07,null,null,null,null,null,null
1992-04-08,null,null,null,null,null,null
1992-04-09,376.123322,376.123322,376.123322,376.123322,185.624161,0
1992-04-10,null,null,null,null,null,null
1992-04-13,null,null,null,null,null,null
